shipment_id,order_date,region,transport_mode,shipment_type,shipment_volume_kg,distance_km,estimated_delivery_days,actual_delivery_days,delivery_delay_days,transportation_cost,handling_cost,fuel_surcharge,total_cost,weather_condition,traffic_level,on_time_delivery,customer_rating
SHP100084,2025-11-30,South,Road,Express,55.31,558,11.74,13.96,2.22,540.1,165.93,35.13,729.69,Normal,Medium,No,3.8
SHP100085,2025-10-19,South,Road,Bulk,63.51,833,16.23,16.69,0.46,925.82,254.04,89.6,1266.98,Normal,Medium,Yes,4.3
SHP100086,2025-04-05,West,Road,Express,48.58,334,7.57,7.45,-0.12,283.95,145.74,18.38,435.53,Normal,Medium,Yes,5.0
SHP100087,2025-01-28,East,Road,Bulk,15.93,494,10.03,10.63,0.6,137.71,63.72,15.09,213.39,Normal,Medium,No,4.8
SHP100088,2025-12-20,West,Road,Express,31.89,614,12.66,12.21,-0.45,342.66,95.67,30.04,457.01,Normal,Low,Yes,5.0
SHP100089,2025-02-04,South,Road,Standard,41.84,322,7.26,8.67,1.41,235.77,125.52,25.47,368.0,Normal,High,No,4.7
SHP100090,2025-08-19,North,Road,Standard,132.61,412,8.63,8.77,0.14,956.12,397.83,68.92,1398.09,Normal,High,Yes,5.0
SHP100091,2025-11-14,East,Road,Standard,68.75,772,15.05,16.5,1.45,928.81,206.25,133.69,1262.72,Normal,High,No,4.2
SHP100092,2025-12-09,West,Rail,Fragile,20.37,698,8.39,10.62,2.23,163.51,142.59,22.97,364.71,Normal,Low,No,3.8
SHP100093,2025-12-30,East,Rail,Standard,50.3,1013,11.89,11.49,-0.4,585.97,150.9,45.18,803.88,Normal,High,Yes,4.3
SHP100094,2025-05-05,West,Air,Express,103.47,467,1.38,1.65,0.27,2319.38,310.41,210.86,2785.38,Normal,High,Yes,4.9
SHP100095,2025-03-20,South,Road,Express,37.81,671,13.44,14.28,0.84,443.98,113.43,51.15,593.55,Normal,High,No,4.8
SHP100096,2025-03-02,East,Road,Express,90.45,449,9.08,9.51,0.43,710.71,271.35,48.76,1008.48,Normal,Low,Yes,4.8
SHP100097,2025-08-05,South,Road,Bulk,20.76,958,18.56,19.97,1.41,348.04,83.04,31.99,408.39,Normal,Medium,No,4.4
SHP100098,2025-10-09,North,Rail,Bulk,8.6,1251,14.67,16.82,2.15,123.72,34.4,10.22,177.98,Normal,High,No,3.5
SHP100099,2025-06-12,North,Air,Standard,97.63,848,1.17,1.72,0.55,3973.93,292.89,565.87,4829.33,Adverse,Medium,No,4.6
SHP100100,2025-02-26,North,Road,Bulk,40.63,1165,22.33,22.49,0.16,828.34,162.52,113.26,1174.92,Normal,Medium,Yes,4.6
SHP100101,2025-07-10,East,Sea,Fragile,16.35,662,20.6,21.78,1.18,92.0,114.45,10.32,205.08,Normal,High,No,4.8
SHP100102,2025-05-12,South,Road,Express,42.46,1012,19.57,19.92,0.35,751.97,127.38,80.33,932.51,Normal,Medium,Yes,4.9
SHP100103,2025-02-11,East,Road,Bulk,58.82,678,13.59,14.3,0.71,697.9,235.28,100.33,1002.96,Normal,Medium,No,4.4
SHP100104,2025-06-22,West,Air,Standard,67.45,370,1.09,1.29,0.2,1197.91,202.35,172.4,1556.86,Adverse,Medium,Yes,4.8
SHP100105,2025-06-16,North,Air,Standard,10.72,744,1.46,2.31,0.85,382.83,32.16,56.37,492.02,Normal,High,No,4.1
SHP100106,2025-09-07,South,Air,Bulk,36.13,376,1.16,1.92,0.76,652.07,144.52,46.48,867.75,Normal,Low,No,4.5
SHP100107,2025-07-12,West,Air,Express,54.75,2353,4.38,4.28,-0.1,6183.68,164.25,460.38,6910.73,Normal,Medium,Yes,5.0
SHP100108,2025-10-05,North,Road,Bulk,67.37,541,10.66,11.2,0.54,637.83,269.48,77.12,942.19,Normal,Medium,No,4.2
SHP100109,2025-08-26,North,Air,Bulk,29.9,927,1.74,4.6,2.86,1330.43,119.6,144.66,1597.71,Normal,High,No,3.7
SHP100110,2025-08-18,South,Road,Standard,47.18,646,13.53,15.52,1.99,533.37,141.54,32.89,683.85,Normal,Medium,No,3.8
SHP100111,2025-06-14,North,Sea,Bulk,37.74,330,10.97,10.74,-0.23,105.86,150.96,6.94,276.03,Normal,High,Yes,4.5
SHP100112,2025-08-31,West,Road,Express,59.9,229,5.35,6.64,1.29,240.05,179.7,33.59,501.75,Normal,High,No,5.0
SHP100113,2025-03-31,West,Air,Express,95.77,981,1.84,4.17,2.33,4509.62,287.31,623.22,5450.32,Normal,Low,No,4.5
SHP100114,2025-06-28,East,Road,Express,43.78,1524,29.23,30.01,0.78,1167.61,131.34,107.6,1364.29,Normal,Medium,No,4.4
SHP100115,2025-02-27,West,Rail,Bulk,22.92,434,5.39,5.7,0.31,114.39,91.68,16.04,246.07,Normal,Low,Yes,4.7
SHP100116,2025-09-20,West,Road,Standard,35.02,261,6.18,7.63,1.45,159.95,105.06,18.14,209.19,Normal,Medium,No,3.4
SHP100117,2025-05-16,North,Air,Express,124.19,544,1.17,1.74,0.57,3242.85,372.57,429.78,3961.9,Normal,Medium,No,4.0
SHP100118,2025-08-26,West,Road,Fragile,31.96,388,8.07,10.54,2.47,217.01,223.72,21.37,453.38,Normal,High,No,3.4
SHP100119,2025-11-03,East,Road,Fragile,25.63,455,9.41,11.14,1.73,204.08,179.41,14.33,419.19,Normal,High,No,4.2
SHP100120,2025-08-31,West,Road,Fragile,42.28,909,17.72,20.2,2.48,672.57,295.96,66.61,1047.32,Adverse,Low,No,3.8
SHP100121,2025-05-31,West,Road,Standard,50.31,632,12.57,12.91,0.34,556.43,150.93,56.29,830.35,Normal,Low,Yes,5.0
SHP100122,2025-12-12,South,Air,Standard,39.06,412,1.31,2.4,1.09,772.45,117.18,84.65,978.11,Normal,Medium,No,4.8
SHP100123,2025-12-30,North,Road,Standard,20.83,898,17.34,17.39,0.05,327.34,62.49,22.75,408.84,Normal,Medium,Yes,5.0
SHP100124,2025-09-04,North,Sea,Fragile,63.09,938,28.34,28.67,0.33,503.02,441.63,75.06,1060.14,Normal,Low,Yes,4.4
SHP100125,2025-08-07,South,Road,Standard,59.93,540,11.15,10.81,-0.34,566.34,179.79,46.42,779.46,Normal,High,Yes,5.0
SHP100126,2025-01-09,West,Road,Standard,76.38,701,13.98,14.87,0.89,936.99,229.14,72.96,1252.7,Normal,High,No,4.9
SHP100127,2025-10-21,West,Air,Bulk,59.2,865,1.92,3.38,1.46,2457.98,236.8,264.02,2974.52,Normal,Medium,No,4.2
SHP100128,2025-01-13,North,Rail,Standard,118.72,822,9.82,11.39,1.57,1122.26,356.16,121.6,1566.0,Normal,High,No,3.5
SHP100129,2025-09-20,East,Road,Bulk,79.58,665,13.45,13.35,-0.1,926.11,318.32,92.23,1350.22,Normal,Medium,Yes,5.0
SHP100130,2025-08-13,South,Rail,Fragile,71.16,1429,16.84,16.42,-0.42,1169.41,498.12,151.4,1895.41,Normal,Medium,Yes,5.0
SHP100131,2025-08-19,North,Air,Bulk,97.64,896,2.02,2.61,0.59,4199.3,390.56,447.22,5076.86,Normal,Medium,No,3.5
SHP100132,2025-06-27,North,Road,Standard,57.25,507,9.95,10.69,0.74,507.95,171.75,58.35,708.68,Normal,Low,No,5.0
SHP100133,2025-09-04,South,Sea,Standard,47.74,509,16.17,16.99,0.82,206.55,143.22,25.85,457.47,Normal,High,No,4.4
SHP100134,2025-03-08,West,Sea,Fragile,62.7,478,15.38,15.32,-0.06,254.75,438.9,15.86,733.63,Normal,Medium,Yes,5.0
SHP100135,2025-10-24,South,Rail,Bulk,15.46,920,10.92,11.15,0.23,163.57,61.84,18.21,258.47,Normal,Medium,Yes,5.0
SHP100136,2025-06-06,East,Road,Fragile,57.35,461,9.44,10.8,1.36,462.67,401.45,64.58,925.3,Normal,Medium,No,4.3
SHP100137,2025-06-14,East,Rail,Standard,50.28,515,6.35,7.34,0.99,297.78,150.84,18.33,490.85,Normal,Low,No,4.6
SHP100138,2025-07-03,South,Road,Fragile,66.42,1163,22.09,22.58,0.49,1351.81,464.94,130.4,1951.07,Normal,Low,Yes,4.5
SHP100139,2025-07-27,West,Road,Fragile,90.59,722,14.49,16.43,1.94,1144.6,634.13,164.09,1943.51,Normal,Medium,No,4.2
SHP100140,2025-01-16,West,Road,Express,72.28,1257,24.63,26.97,2.34,1589.98,216.84,145.93,1948.09,Adverse,Medium,No,4.9
SHP100141,2025-10-27,South,Road,Fragile,35.08,1008,19.39,21.44,2.05,618.81,245.56,62.68,961.13,Adverse,Medium,No,3.7
SHP100142,2025-11-02,South,Air,Bulk,82.8,340,1.0,2.7,1.7,1351.3,331.2,200.45,1913.15,Normal,Medium,No,4.5
SHP100143,2025-08-29,South,Air,Express,119.64,614,1.35,1.99,0.64,3526.03,358.92,274.82,4154.54,Normal,Medium,No,4.4
SHP100144,2025-08-18,South,Air,Standard,91.85,1120,1.72,1.15,-0.57,4937.86,275.55,325.27,5485.51,Normal,Medium,Yes,5.0
SHP100145,2025-01-18,North,Road,Express,24.14,332,7.06,8.87,1.81,140.25,72.42,19.26,233.2,Normal,Medium,No,5.0
SHP100146,2025-05-27,East,Road,Standard,71.87,819,16.08,17.18,1.1,1030.08,215.61,142.32,1362.88,Normal,High,No,4.7
SHP100147,2025-09-01,East,Road,Standard,26.31,636,12.54,11.39,-1.15,292.83,78.93,30.01,385.2,Normal,Medium,Yes,5.0
SHP100148,2025-02-20,North,Sea,Standard,45.15,248,8.89,8.72,-0.17,95.18,135.45,10.12,236.37,Normal,Medium,Yes,5.0
SHP100149,2025-09-16,South,Road,Standard,65.37,694,13.49,14.18,0.69,793.92,196.11,107.36,1060.27,Adverse,Low,No,5.0
SHP100150,2025-08-26,West,Air,Standard,60.78,410,1.26,1.11,-0.15,1196.15,182.34,151.28,1473.41,Normal,Medium,Yes,4.6
SHP100151,2025-09-03,North,Rail,Standard,90.9,342,4.97,4.61,-0.36,357.51,272.7,29.98,670.41,Normal,Low,Yes,4.5
SHP100152,2025-12-11,North,Road,Fragile,119.95,653,13.17,14.06,0.89,1370.73,839.65,84.33,2295.65,Normal,Medium,No,5.0
SHP100153,2025-11-06,South,Air,Bulk,68.93,225,1.0,3.23,2.23,744.44,275.72,76.81,1096.57,Adverse,Low,No,3.8
SHP100154,2025-02-18,West,Road,Standard,43.23,449,9.43,9.75,0.32,339.68,129.69,46.64,533.89,Normal,Medium,Yes,5.0
SHP100155,2025-10-11,North,Air,Bulk,15.91,2644,4.36,5.53,1.17,2019.17,63.64,283.95,2343.67,Normal,Medium,No,5.0
SHP100156,2025-02-07,East,Sea,Express,103.11,929,27.53,27.33,-0.2,814.21,309.33,118.92,1254.1,Normal,Medium,Yes,5.0
SHP100157,2025-10-11,West,Road,Standard,50.42,400,8.23,9.17,0.94,352.94,151.26,49.12,600.13,Normal,Low,No,5.0
SHP100158,2025-02-01,North,Road,Standard,51.9,1407,26.78,25.8,-0.98,1277.91,155.7,143.39,1568.08,Normal,Low,Yes,5.0
SHP100159,2025-08-31,West,Rail,Express,54.22,377,4.75,5.64,0.89,235.07,162.66,23.51,487.72,Normal,Medium,No,4.3
SHP100160,2025-02-10,South,Sea,Fragile,67.23,479,15.08,17.09,2.01,273.73,470.61,35.51,781.6,Normal,Low,No,3.0
SHP100161,2025-10-19,East,Road,Fragile,68.31,346,7.61,8.57,0.96,413.62,478.17,52.36,914.31,Normal,Medium,No,4.7
SHP100162,2025-04-13,East,Rail,Standard,45.55,748,9.15,9.7,0.55,391.82,136.65,42.49,600.7,Normal,Medium,No,3.7
SHP100163,2025-10-19,East,Rail,Standard,50.15,1380,16.4,18.47,2.07,795.88,150.45,54.01,996.4,Adverse,Medium,No,4.2
SHP100164,2025-04-17,North,Air,Standard,37.37,375,1.05,1.04,-0.01,672.66,112.11,96.42,918.03,Normal,Medium,Yes,5.0
SHP100165,2025-09-03,West,Road,Standard,35.06,209,5.09,8.37,3.28,128.23,105.18,12.95,260.83,Adverse,High,No,3.5
SHP100166,2025-03-28,South,Air,Standard,34.96,1184,2.04,2.64,0.6,1986.85,104.88,184.18,2264.43,Normal,Low,No,4.8
SHP100167,2025-03-07,North,Sea,Standard,49.82,1528,44.82,45.15,0.33,647.06,149.46,75.49,925.24,Normal,Low,Yes,5.0
SHP100168,2025-05-18,North,Road,Fragile,31.17,217,5.04,4.19,-0.85,118.37,218.19,14.28,333.36,Normal,Low,Yes,5.0
SHP100169,2025-11-22,East,Road,Bulk,8.23,837,16.24,15.97,-0.27,120.55,32.92,9.52,100.0,Normal,Low,Yes,5.0
SHP100170,2025-07-19,East,Sea,Standard,42.8,736,22.49,23.88,1.39,267.76,128.4,36.23,463.21,Normal,Low,No,4.4
SHP100171,2025-12-01,North,Road,Bulk,25.04,422,8.61,9.64,1.03,184.92,100.16,15.92,313.25,Normal,Medium,No,3.5
SHP100172,2025-04-03,East,Air,Standard,56.29,302,1.08,1.91,0.83,815.98,168.87,62.67,1092.45,Normal,Medium,No,5.0
SHP100173,2025-12-14,North,Road,Express,37.29,1122,21.42,21.96,0.54,732.19,111.87,70.71,883.91,Normal,Medium,No,4.6
SHP100174,2025-10-05,East,Road,Standard,67.69,717,14.15,14.06,-0.09,849.34,203.07,106.8,1150.56,Normal,Medium,Yes,4.6
SHP100175,2025-01-20,North,Air,Express,26.44,748,1.55,2.22,0.67,949.3,79.32,139.44,1155.46,Normal,Medium,No,4.8
SHP100176,2025-10-16,East,Road,Bulk,17.73,462,9.88,9.36,-0.52,143.35,70.92,19.04,265.99,Normal,Medium,Yes,5.0
SHP100177,2025-03-31,South,Road,Express,50.22,418,9.24,7.96,-1.28,367.36,150.66,53.13,593.93,Normal,Low,Yes,5.0
SHP100178,2025-02-19,West,Road,Standard,41.78,168,4.71,4.52,-0.19,122.83,125.34,8.92,264.62,Normal,Medium,Yes,4.5
SHP100179,2025-01-10,North,Rail,Express,23.76,573,6.85,7.0,0.15,156.57,71.28,10.4,245.99,Normal,Low,Yes,5.0
SHP100180,2025-03-20,South,Road,Standard,79.61,1434,27.18,25.92,-1.26,1997.81,238.83,220.15,2416.5,Normal,Low,Yes,5.0
SHP100181,2025-02-06,North,Road,Bulk,29.16,398,8.3,9.1,0.8,203.1,116.64,17.49,364.14,Normal,Medium,No,4.7
SHP100182,2025-02-28,West,Sea,Express,34.11,281,9.62,10.02,0.4,81.47,102.33,10.96,222.38,Normal,High,Yes,5.0
SHP100183,2025-03-29,West,Road,Express,87.75,826,16.3,16.01,-0.29,1268.43,263.25,152.82,1764.68,Normal,Medium,Yes,5.0
SHP100184,2025-04-14,South,Rail,Express,69.81,914,10.81,11.85,1.04,733.77,209.43,108.13,1067.81,Normal,Low,No,5.0
SHP100185,2025-11-15,East,Road,Express,27.32,471,9.6,10.83,1.23,225.19,81.96,18.67,347.96,Normal,High,No,4.6
SHP100186,2025-10-04,West,Air,Standard,43.92,537,1.0,1.0,0.0,1132.08,131.76,117.42,1397.98,Normal,Medium,Yes,4.8
SHP100187,2025-04-14,East,Road,Fragile,25.72,752,14.21,15.98,1.77,338.48,180.04,35.58,529.71,Adverse,Medium,No,4.9
SHP100188,2025-09-11,East,Sea,Standard,84.35,597,18.23,18.25,0.02,428.03,253.05,34.9,759.71,Normal,High,Yes,5.0
SHP100189,2025-08-18,North,Road,Fragile,84.32,1127,21.91,23.32,1.41,1663.0,590.24,188.1,2439.39,Normal,Medium,No,4.4
SHP100190,2025-12-01,North,Road,Bulk,129.37,2484,46.73,49.06,2.33,5623.71,517.48,561.79,6696.23,Adverse,Low,No,4.1
SHP100191,2025-02-06,West,Road,Fragile,156.15,254,6.16,8.78,2.62,694.09,1093.05,69.55,1851.97,Adverse,Medium,No,3.8
